Ticket #,Customer Complaint,Date,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
371339,Comcast Internet Service Provider,28-06-2015,22:16:48,Internet,Dacula,Georgia,30019,Open,No
374265,Fraudulent charges by Comcast,30-06-2015,11:12:33,Customer Care Call,Dacula,Georgia,30019,Solved,No
321859,Comcast Data Cap Compliant,06-03-2015,17:19:36,Customer Care Call,Dallas,Georgia,30132,Solved,No
361174,Billings Charges & Credits,24-06-2015,10:22:03,Internet,Dallas,Georgia,30157,Solved,Yes
361593,"Comcast Data Cap Limits, Lack of Competition, and Anti-Competition Business and Billing Practices",24-06-2015,12:15:00,Internet,Dallas,Georgia,30132,Pending,No
374783,Deceptive Billing Practices,30-06-2015,13:38:28,Customer Care Call,Dallas,Georgia,30132,Pending,No
363368,Billing Complaint,24-06-2015,20:22:55,Customer Care Call,Daly City,California,94015,Solved,No
242847,Comcast Unfair Billing Practices,18-04-2015,11:54:54,Customer Care Call,Dania Beach,Florida,33004,Closed,No
351573,"Comcast ""property access"" or ""right of entry""",19-06-2015,12:05:47,Internet,Danville,California,94526,Solved,Yes
371536,Internet speed,29-06-2015,08:45:03,Internet,Danville,California,94526,Solved,No
236425,Robber Barron Billing Practices,15-04-2015,09:59:13,Customer Care Call,Danville,Illinois,61832,Closed,No
376227,Fradualent claims,30-06-2015,22:05:38,Customer Care Call,Danville,Illinois,61832,Solved,Yes
339894,Xfinity Comcast hbogo on ps4,14-06-2015,12:37:53,Internet,Dartmouth,Massachusetts,2748,Open,No
262190,comcast failure to respond to user communication,28-04-2015,16:27:20,Customer Care Call,Davidsonville,Maryland,21035,Closed,No
288196,xfinitty tv and exfinity alarm,13-05-2015,16:00:37,Internet,Davie,Florida,33314,Solved,No
360651,Internet speed and price of bundle,24-06-2015,00:39:42,Customer Care Call,Davie,Florida,33314,Solved,Yes
282820,RE: Comcast Internet Illegal charges,05-11-2015,01:11:34,Internet,Davis,California,95616,Solved,No
373822,Possible Internet Speed Throttling by my Comcast Internet Provider,29-06-2015,23:08:09,Customer Care Call,Davis,California,95618,Pending,No
362897,Slow speed,24-06-2015,17:15:57,Customer Care Call,Dayton,Texas,77535,Solved,No
242346,Inaccurate billing,17-04-2015,19:10:17,Customer Care Call,Dearborn,Michigan,48124,Closed,No
361093,Comcast Internet Pricing,24-06-2015,09:55:48,Internet,Dearborn,Michigan,48124,Solved,Yes
263641,Billing/contract issue related to data cap,29-04-2015,11:06:48,Customer Care Call,Decatur,Georgia,30030,Closed,No
304759,Comcast Data Billing,23-05-2015,13:26:17,Internet,Decatur,Georgia,30032,Closed,No
313021,Data Caps,29-05-2015,09:54:10,Customer Care Call,Decatur,Georgia,30032,Pending,No
332081,Comcast,06-10-2015,09:14:45,Internet,Decatur,Georgia,30034,Solved,No
332082,Comcast,06-10-2015,09:14:50,Internet,Decatur,Georgia,30034,Closed,No
347577,Comcast,17-06-2015,22:23:39,Customer Care Call,Decatur,Georgia,30033,Solved,No
368187,"Prolonged internet outage, tardy response",26-06-2015,13:30:10,Internet,Decatur,Georgia,30033,Solved,No
367526,comcast internet,26-06-2015,09:38:37,Internet,Decherd,Tennessee,37324,Open,No
245446,Improper billing from Comcast,20-04-2015,16:58:11,Internet,Deerfield,Illinois,60015,Closed,No
313550,Deceptive sales tactics,29-05-2015,13:42:39,Customer Care Call,Deerfield Beach,Florida,33064,Open,No
330272,Misrepresentation of terms,06-09-2015,12:40:11,Customer Care Call,Deerfield Beach,Florida,33442,Solved,No
364845,"Consumer Fraud - Sell at One Price, Then Advise Price is Higher",25-06-2015,12:59:33,Internet,Deerfield Beach,Florida,33442,Solved,No
315506,Misleading communication.,30-05-2015,23:15:18,Customer Care Call,Dekalb,Illinois,60115,Solved,No
262339,Comcast Chat Agent Help,28-04-2015,16:59:45,Customer Care Call,Delmont,Pennsylvania,15626,Closed,No
367295,Fees,25-06-2015,23:55:00,Customer Care Call,Delmont,Pennsylvania,15626,Solved,No
233417,Comcast cable company Florida,13-04-2015,19:52:19,Customer Care Call,Delray Beach,Florida,33484,Closed,No
318583,Misleading Advertising,06-02-2015,12:09:31,Internet,Delray Beach,Florida,33446,Closed,No
332981,Comcast,06-10-2015,15:03:30,Customer Care Call,Delray Beach,Florida,33483,Solved,No
360267,Unfair Billing Practices regarding Comcast,23-06-2015,21:55:33,Internet,Delray Beach,Florida,33484,Solved,No
369595,Unfair Comcast Bill,27-06-2015,02:24:44,Internet,Delray Beach,Florida,33484,Open,No
218043,comcast services,04-04-2015,17:32:05,Internet,Denver,Colorado,80227,Closed,No
238450,Comcast internet speeds extremely slow,15-04-2015,23:55:23,Internet,Denver,Colorado,80209,Closed,No
249498,comcast internet service - billing problem,22-04-2015,09:26:13,Customer Care Call,Denver,Colorado,80207,Closed,No
256302,Comcast speed and billing,24-04-2015,19:11:10,Customer Care Call,Denver,Colorado,80206,Closed,No
254454,Comcast refusal to cancel service under false contract claims,24-04-2015,01:47:58,Internet,Denver,Colorado,80219,Closed,Yes
278557,Terrible Service and Ripped off by Comcast,05-07-2015,15:12:19,Internet,Denver,Colorado,80238,Closed,No
294253,Extremely slow internet speeds; Horrible support,17-05-2015,22:18:11,Customer Care Call,Denver,Colorado,80209,Solved,No
298254,Promissed a package and then denied,19-05-2015,21:25:24,Internet,Denver,Colorado,80203,Solved,No
319026,HBO GO on Playstation 3,06-02-2015,14:36:31,Customer Care Call,Denver,Colorado,80231,Closed,No
326422,Comcast secretly raising my bill for services I never agreed to. Again.,06-05-2015,22:18:05,Customer Care Call,Denver,Colorado,80221,Solved,No
329312,Lied about $70 technician fee,06-08-2015,18:51:26,Internet,Denver,Colorado,80231,Closed,No
337337,Internet Too Slow,06-12-2015,15:06:04,Internet,Denver,Colorado,80246,Solved,No
350389,Internet Speed Drops & Signal on Borderline,18-06-2015,19:09:02,Customer Care Call,Denver,Colorado,80219,Solved,No
355818,Comcast Service for EXTERIOR Line Replacement Billed to customer,22-06-2015,13:27:24,Internet,Denver,Colorado,80246,Solved,No
359125,Comcast Complaint,23-06-2015,15:59:49,Customer Care Call,Denver,Colorado,80223,Pending,No
359237,I am being unfairly billed,23-06-2015,16:25:05,Customer Care Call,Denver,Colorado,80220,Solved,No
359538,Internet Prices in U.S.A,23-06-2015,17:36:44,Internet,Denver,Colorado,80210,Open,No
363079,Comcast throttling my speeds for streaming video,24-06-2015,18:13:43,Customer Care Call,Denver,Colorado,80249,Pending,No
367512,Consistently slow internet speeds,26-06-2015,09:32:47,Customer Care Call,Denver,Colorado,80206,Open,Yes
370212,Internet Speeds nowhere close to what I pay for,27-06-2015,16:19:26,Internet,Denver,Colorado,80218,Open,No
371318,Billed without service,28-06-2015,21:35:38,Internet,Denver,Colorado,80250,Open,No
370876,Slow Internet,28-06-2015,12:39:00,Customer Care Call,Denver,Colorado,80220,Solved,No
309213,"Billed for modem rental for several years, Comcast refuses to refund under ""caveat emptor""",27-05-2015,12:54:22,Internet,Deptford,New Jersey,8096,Open,No
217999,Misleading information given,04-04-2015,16:21:46,Internet,Des Moines,Washington,98148,Closed,Yes
243449,Contract Cancellation Fees and Unauthorized Changes,18-04-2015,22:44:07,Customer Care Call,Des Plaines,Illinois,60016,Closed,Yes
239699,"no internet service, no on demand service",16-04-2015,15:24:48,Internet,Detroit,Michigan,48207,Closed,No
249477,internet and on demand service,22-04-2015,09:09:19,Internet,Detroit,Michigan,48207,Closed,No
306959,Unfair Charges and substandard service,26-05-2015,12:17:40,Internet,Detroit,Michigan,48216,Solved,No
339008,Comcast Automatic Payments,13-06-2015,13:07:49,Internet,Detroit,Michigan,48205,Solved,No
373332,Outage and unfair practices,29-06-2015,18:18:41,Customer Care Call,Detroit,Michigan,48226,Open,No
372553,Fraudolent pratice,29-06-2015,14:54:20,Internet,Detroit,Michigan,48227,Solved,No
373429,Comcast service,29-06-2015,18:48:08,Customer Care Call,Detroit,Michigan,48202,Open,No
376141,Comcast Billing Practices,30-06-2015,20:56:03,Internet,Detroit,Michigan,48214,Solved,No
249164,Comcast,21-04-2015,21:46:57,Internet,Dickson,Tennessee,37055,Closed,No
302143,Comcast Mistreatment,21-05-2015,17:26:47,Internet,Doraville,Georgia,30340,Open,No
243607,Slow connection speed for wifi,19-04-2015,12:29:29,Internet,Dorchester,Massachusetts,2121,Closed,No
359915,"Comcast Speeds Low, and Often Disconnections",23-06-2015,19:32:22,Customer Care Call,Dos Palos,California,93620,Closed,Yes
275658,Comcast Service,05-06-2015,11:37:09,Internet,Dothan,Alabama,36301,Closed,No
263790,Denial of Refund for Overpayment,29-04-2015,11:53:57,Customer Care Call,Douglasville,Georgia,30135,Closed,No
362194,Comcast data cap,24-06-2015,14:37:50,Internet,Douglasville,Georgia,30134,Pending,Yes
357874,Comcast unfair billing,23-06-2015,11:40:33,Internet,Dover,Delaware,19901,Open,No
307493,Comcast,26-05-2015,14:34:57,Internet,Dover,New Hampshire,3820,Open,Yes
363607,Slow Service,24-06-2015,22:25:30,Internet,Dover,New Hampshire,3820,Pending,No
249591,Comcast Internet,22-04-2015,10:17:22,Internet,Dover,Pennsylvania,17315,Closed,Yes
332712,Comcast,06-10-2015,13:32:28,Customer Care Call,Dover,Pennsylvania,17315,Solved,No
363854,Internet Issue,25-06-2015,07:21:10,Internet,Dover,Pennsylvania,17315,Open,No
258515,Business Class Service,27-04-2015,11:21:58,Internet,Dowagiac,Michigan,49047,Closed,No
221068,DNS Web hosting,04-07-2015,10:00:20,Customer Care Call,Downers Grove,Illinois,60515,Closed,No
266657,Fraudulent account,30-04-2015,14:37:43,Internet,Downers Grove,Illinois,60515,Closed,No
238258,Comcast Internet Service Complaint,15-04-2015,21:02:13,Internet,Doylestown,Pennsylvania,18901,Closed,Yes
270964,Billing Issues,05-04-2015,01:09:57,Customer Care Call,Dublin,California,94568,Solved,Yes
256312,Comcast poor service or throttling,24-04-2015,19:20:07,Customer Care Call,Dubois,Pennsylvania,15801,Closed,No
266686,Comcast Refuses to Fix Billing If a Virus Causes Data Usage Over Cap on a system protected by THEIR AV,30-04-2015,14:50:13,Internet,Duluth,Georgia,30097,Closed,No
294252,No broadband service provided,17-05-2015,22:15:53,Internet,Duluth,Georgia,30097,Closed,Yes
315855,Poor Service from Comcast,31-05-2015,17:29:00,Customer Care Call,Duluth,Georgia,30096,Solved,No
373569,300 gb cap,29-06-2015,19:46:15,Customer Care Call,Duluth,Georgia,30096,Pending,No
351246,Comcast Data Caps,19-06-2015,10:37:18,Internet,Dunwoody,Georgia,30338,Solved,No
338638,"Slow speeds, poor service,.",13-06-2015,00:30:12,Internet,Dupont,Washington,98327,Open,No
364817,Billing and Service,25-06-2015,12:53:38,Customer Care Call,Dupont,Washington,97238,Open,No
260681,comcast of indiana,28-04-2015,08:43:37,Internet,Dyer,Indiana,46311,Closed,No
326518,Comcast trial of putting cap (300 GB / month) on internet usage.,06-06-2015,06:40:10,Customer Care Call,Eads,Tennessee,38028,Solved,No
350956,Comcast Data Caps,19-06-2015,02:47:34,Internet,Eads,Tennessee,38028,Open,No
354423,Comcast Data Cap & Code Injection,20-06-2015,23:54:41,Internet,Eads,Tennessee,38028,Pending,No
255465,Comcast billing/service,24-04-2015,14:22:50,Internet,East Brunswick,New Jersey,8816,Solved,No
285591,Comcast-flat fee contract-misrepresentation,05-12-2015,13:11:10,Customer Care Call,East Brunswick,New Jersey,8816,Solved,No
344657,Comcast Internet problems,16-06-2015,22:34:58,Internet,East Brunswick,New Jersey,8816,Solved,No
364868,Comcast Internet Billing,25-06-2015,13:03:35,Customer Care Call,East Brunswick,New Jersey,8816,Open,Yes
369184,Comcast xfinity triple play,26-06-2015,18:51:00,Customer Care Call,East Brunswick,New Jersey,8816,Solved,No
365648,Billing issues with Comcast,25-06-2015,14:50:58,Customer Care Call,East Chicago,Indiana,46312,Solved,Yes
351497,Comcast Internet,19-06-2015,11:42:57,Internet,East Liverpool,Ohio,43920,Solved,No
338674,Comcast outage - Bay Area,13-06-2015,02:13:06,Internet,East Palo Alto,California,94303,Open,No
315759,Comcast of East Windsor NJ Complaint,31-05-2015,15:25:33,Internet,East Windsor,New Jersey,8520,Pending,No
296722,Terrible Comcast service,19-05-2015,11:35:47,Customer Care Call,Eden Prairie,Minnesota,55347,Closed,No
315836,Complaint against Comcast for incredibly bad service,31-05-2015,16:47:08,Customer Care Call,Edgewood,Washington,98372,Pending,No
291175,Data Caps,15-05-2015,02:17:50,Customer Care Call,Edina,Minnesota,55424,Open,No
319694,Internet service speed,06-02-2015,18:23:49,Customer Care Call,Edmonds,Washington,98020,Closed,Yes
364449,Comcast xfinity price gouging seniors,25-06-2015,12:07:07,Customer Care Call,Egg Harbor City,New Jersey,8215,Solved,No
275612,Misrepresentation of billing,05-06-2015,11:18:43,Customer Care Call,El Cerrito,California,94530,Solved,No
281211,"Constant non response, or passing to other operator. Supervisers inability to resolve of help. Numerous lies told.",05-08-2015,19:02:27,Customer Care Call,El Cerrito,California,94530,Closed,No
363708,Comcast chronic lies,24-06-2015,23:51:56,Customer Care Call,El Cerrito,California,94530,Open,No
365908,Comcast Internet Only Service,25-06-2015,15:31:17,Internet,El Cerrito,California,94530,Open,No
222882,Comcast broke 36 month contract by increasing bill...,04-07-2015,20:06:42,Customer Care Call,El Dorado Hills,California,95762,Closed,No
367435,unfair billing practices,26-06-2015,08:25:31,Internet,Eldersburg,Maryland,21784,Solved,Yes
354805,Installation Charges,21-06-2015,18:08:54,Customer Care Call,Elgin,Illinois,60124,Solved,Yes
360640,Comcast Over Charging Bundle PKG,24-06-2015,00:35:19,Customer Care Call,Elgin,Illinois,60123,Open,No
312797,Comcast/Xfinity Data Allowance,28-05-2015,23:52:24,Internet,Elizabethtown,Kentucky,42701,Pending,No
363674,pricing,24-06-2015,23:31:50,Internet,Elkhart,Indiana,46516,Open,No
363879,60 days to close my account,25-06-2015,08:16:34,Internet,Elkhart,Indiana,46516,Solved,No
240793,Fraudulent billing by Comcast.,17-04-2015,08:28:01,Internet,Elkins Park,Pennsylvania,19027,Closed,Yes
361453,Comcast Failed to Switch our Systems to New Location and Shut Down the Current Location,24-06-2015,11:36:18,Internet,Ellicott City,Maryland,21043,Solved,No
256173,Comcast slamming issue,24-04-2015,18:11:23,Internet,Elmhurst,Illinois,60126,Closed,No
290961,Please stop Broadband bandwidth caps,14-05-2015,19:47:10,Customer Care Call,Emeryville,California,94662,Closed,No
363786,comcast internet in emeryville throttles speed,25-06-2015,02:32:11,Internet,Emeryville,California,94608,Pending,No
359991,Pricing Concerns,23-06-2015,19:59:41,Internet,Encino,California,95051,Open,No
370823,"95 Palmer Road, Enfield NH Internet Pricing",28-06-2015,11:36:24,Customer Care Call,Enfield,New Hampshire,3748,Open,Yes
359462,"Overpriced, low quality service",23-06-2015,17:18:05,Internet,Englewood,Colorado,80113,Solved,No
249470,Bundled Service,22-04-2015,08:57:24,Internet,Englewood,Florida,34224,Closed,No
243193,Comcast customer service and billing complaint,18-04-2015,16:26:50,Customer Care Call,Enola,Pennsylvania,17025,Closed,No
266179,Comcast Throttling,30-04-2015,12:07:11,Internet,Eugene,Oregon,97405,Closed,No
286301,"lack of service, Service call complaint",05-12-2015,17:04:42,Customer Care Call,Eugene,Oregon,97404,Solved,Yes
286302,"lack of service, Service call complaint",05-12-2015,17:04:45,Customer Care Call,Eugene,Oregon,97404,Closed,Yes
291730,Comcast fradulent Marketing and billing for internet,15-05-2015,12:48:33,Customer Care Call,Eugene,Oregon,97402,Solved,No
304483,Unreliable service for the past three years,23-05-2015,04:31:57,Customer Care Call,Eugene,Oregon,97401,Solved,No
358336,Comcast has doubled my internet fee without warning,23-06-2015,13:27:29,Internet,Eugene,Oregon,97401,Solved,No
363716,Frequent disconnects,24-06-2015,23:59:03,Customer Care Call,Eugene,Oregon,97401,Solved,No
364369,BILLING ISSUE,25-06-2015,11:48:15,Internet,Eustis,Florida,32726,Solved,No
360826,Comcast Unfair Billing Practices,24-06-2015,04:17:46,Customer Care Call,Evans,Colorado,80620,Solved,Yes
315602,Comcast deceptive selling billing lack of service - SECOND And EXPANDED COMPLAINT,31-05-2015,10:40:45,Internet,Evans,Georgia,30809,Closed,No
342613,Comcast complaint about internet speed,16-06-2015,09:07:25,Customer Care Call,Evans,Georgia,30809,Solved,No
350740,Comcast Billing Issues,18-06-2015,21:37:12,Internet,Evans,Georgia,30809,Solved,No
319816,Comcast (Chicago IL),06-02-2015,19:09:11,Internet,Evanston,Illinois,60202,Solved,No
346686,No Internet for last 6 days and Comcast is not doing anything,17-06-2015,17:21:56,Customer Care Call,Everett,Massachusetts,2149,Closed,No
358340,Comcast Price Gouging,23-06-2015,13:28:17,Internet,Everett,Washington,98201,Open,No
364765,Unable to renew IP address,25-06-2015,12:43:14,Customer Care Call,Everett,Washington,98201,Solved,No
266217,Comcast,30-04-2015,12:17:37,Customer Care Call,Export,Pennsylvania,15632,Closed,No
361326,COMCAST,24-06-2015,10:56:18,Customer Care Call,Fairburn,Georgia,30213,Closed,No
375039,Comcast Issues,30-06-2015,14:53:39,Customer Care Call,Fairfield,California,94533,Pending,No
281647,Comcast will not service our home,05-09-2015,11:22:22,Customer Care Call,Fall City,Washington,98024,Solved,No
229552,Comcast/xfinity,04-10-2015,17:07:15,Customer Care Call,Fall River,Massachusetts,2723,Closed,No
280454,Comcast Billing and Service Issues,05-08-2015,14:22:57,Customer Care Call,Falling Waters,West Virginia,25419,Closed,No
244215,Poor service,20-04-2015,10:14:44,Customer Care Call,Falmouth,Massachusetts,2536,Open,No
342774,Data cap,16-06-2015,10:29:45,Customer Care Call,Fayettevile,Georgia,39214,Open,No
317954,Comcast,06-01-2015,21:46:23,Customer Care Call,Fayetteville,Georgia,30214,Closed,No
334864,internet billing,06-11-2015,13:38:51,Internet,Feasterville,Pennsylvania,19053,Solved,No
214213,Comcast fluctuating prices,04-02-2015,13:05:16,Customer Care Call,Federal Way,Washington,98003,Closed,No
356818,Recurring Comcast service issues and long waits for non-service,22-06-2015,18:10:03,Internet,Federal Way,Washington,98093,Solved,No
359812,Multiple billing an dcompetative issues.,23-06-2015,19:02:38,Internet,Federal Way,Washington,98023,Pending,No
239964,Comcast fraudualent billing,16-04-2015,16:40:11,Customer Care Call,Ferndale,Michigan,48220,Closed,No
313367,Comcast Service,29-05-2015,12:41:28,Internet,Flemington,New Jersey,8822,Solved,No
225770,Re: Internet Too Expensive,04-09-2015,09:33:37,Customer Care Call,Flint,Michigan,48505,Closed,No
333020,Charged for Services not provided,06-10-2015,15:19:40,Internet,Flint,Michigan,48502,Solved,No
350675,paying for WiFi and its not working,18-06-2015,21:04:04,Customer Care Call,Flint,Michigan,48503,Solved,No
360281,ISP Data Cap,23-06-2015,22:05:49,Internet,Florence,Alabama,35630,Pending,No
333174,Internet Connection and Speed Issues,06-10-2015,16:06:07,Internet,Forest Grove,Oregon,97116,Solved,No
245155,Comcast internet,20-04-2015,15:30:29,Customer Care Call,Forked River,New Jersey,8731,Closed,No
314727,Comcast Will Not Provide Online Content Without Cable Box,30-05-2015,05:12:31,Internet,Fort Belvoir,Virginia,22060,Pending,No
356202,Internet cap,22-06-2015,15:07:00,Customer Care Call,Fort Campbell,Kentucky,42223,Solved,No
358138,Lack of reasonable infrastructure close to town,23-06-2015,12:37:18,Internet,Fort Collins,Colorado,80521,Closed,Yes
360818,Comcast Throttling Speeds,24-06-2015,04:10:31,Internet,Fort Collins,Colorado,80525,Pending,Yes
363811,comcast,25-06-2015,04:31:43,Internet,Fort Collins,Colorado,80521,Solved,No
369588,Comcast Throttling My Internet,27-06-2015,01:39:57,Customer Care Call,Fort Collins,Colorado,80524,Pending,Yes
231927,Un able to access my email address after relocae to a new address,13-04-2015,11:46:10,Customer Care Call,Fort Lauderdale,Florida,33308,Closed,No
242888,Internet speed issues with Comcast and picture freezing issues when watching TV,18-04-2015,12:32:19,Customer Care Call,Fort Lauderdale,Florida,33319,Closed,No
366894,Systemic failures with Comcast,25-06-2015,19:32:10,Internet,Fort Lauderdale,Florida,33312,Solved,No
265094,Comcast/Xfinity,29-04-2015,18:19:01,Customer Care Call,Fort Lee,Virginia,23801,Closed,No
232276,Comcast internet and lack of communication and response,13-04-2015,13:40:31,Internet,Fort Myers,Florida,33919,Closed,No
238647,billing issues,16-04-2015,09:43:28,Internet,Fort Myers,Florida,33916,Closed,No
320644,Comcast knowingly over billed,06-03-2015,11:38:03,Internet,Fort Myers,Florida,33908,Closed,Yes
336872,Horrible/Unacceptable Service of Comcast,06-12-2015,12:45:46,Internet,Fort Myers,Florida,33907,Solved,No
340024,Comcast overcharge,14-06-2015,16:01:56,Customer Care Call,Fort Myers Beach,Florida,33931,Open,No
252542,Deceptive Trade,23-04-2015,13:42:46,Internet,Fort Pierce,Florida,34982,Closed,No
263410,Comcast Demanding payment after cancellation,29-04-2015,09:48:22,Customer Care Call,Fort Washington,Maryland,20744,Closed,No
282159,No internet,05-09-2015,19:18:04,Internet,Fort Washington,Maryland,20744,Solved,No
376020,Xfinity promise to pay me $300 to join,30-06-2015,19:48:57,Internet,Fountain,Colorado,80817,Pending,No
270026,Comcast issues,05-02-2015,13:16:53,Customer Care Call,Franklin,Indiana,46131,Solved,No
213506,Internet Provider Data Thresholds,04-02-2015,08:09:54,Internet,Franklin,Tennessee,37064,Closed,No
212507,Comcast Cable,04-01-2015,15:54:43,Internet,Franklin,Tennessee,37067,Closed,No
283115,Comcast Data Cap,05-11-2015,11:03:58,Customer Care Call,Franklin,Tennessee,37067,Solved,No
288851,Comcast Data Caps,13-05-2015,20:45:21,Internet,Franklin,Tennessee,37064,Open,No
305720,Comcast,25-05-2015,11:09:23,Customer Care Call,Franklin,Tennessee,37067,Pending,No
331090,Comcast data cap,06-09-2015,16:57:42,Internet,Franklin,Tennessee,37064,Solved,No
350160,Routine Outages / Speeds never as promised,18-06-2015,17:28:13,Internet,Franklin,Tennessee,37069,Open,No
371119,Comcast business keeps moving my same-day trouble appointment to the next day,28-06-2015,16:48:51,Internet,Franklin,Tennessee,37069,Open,No
350504,Comcast cable company,18-06-2015,19:58:26,Customer Care Call,Fraser,Michigan,48026,Solved,No
345034,Comcast billing,17-06-2015,10:39:26,Customer Care Call,Frederick,Colorado,80516,Solved,Yes
290238,Lack of HBO Go Availability on Sony Devices with Xfinity Subscription,14-05-2015,15:21:17,Internet,Frederick,Maryland,21701,Pending,No
362788,Overcharged $30 per month for 10 months straight,24-06-2015,16:48:55,Internet,Frederick,Maryland,21702,Solved,No
362507,Raising my Rate,24-06-2015,15:53:22,Customer Care Call,Fredericksburg,Virginia,22407,Solved,No
361633,Unfair Comcast Billing,24-06-2015,12:21:50,Internet,Freeport,Illinois,61032,Open,No
305399,Comcast fradulently gets contract signed by my wife,24-05-2015,17:15:10,Customer Care Call,Fremont,California,94555,Open,Yes
358861,Comcast charging me unrelated charges,23-06-2015,15:11:02,Internet,Fremont,California,94538,Open,No
358898,Ridiculous Charges,23-06-2015,15:18:26,Customer Care Call,Fremont,California,94536,Solved,No
240650,complaint against Comcast,16-04-2015,22:11:30,Internet,Fresh Meadows,New York,11366,Closed,No
307364,Arbitrary Price Increase,26-05-2015,14:03:20,Internet,Fresno,California,93722,Solved,No
349751,Comcast Billing Complaint,18-06-2015,15:56:11,Internet,Fresno,California,93703,Solved,Yes
358360,Internet speed deteriation,23-06-2015,13:32:14,Internet,Fresno,California,93704,Solved,No
371463,Internet Speed on Wireless Connection,29-06-2015,04:37:17,Internet,Fresno,California,93730,Solved,Yes
342375,internet,15-06-2015,21:10:14,Customer Care Call,Front Royal,Virginia,22630,Solved,No
255922,intermittent internet,24-04-2015,16:34:42,Internet,Fruitland Park,Florida,34731,Closed,No
366192,Deceptive trade,25-06-2015,16:12:23,Internet,Ft Pierce,Florida,34982,Solved,No
298980,Improper Billing and non resolution of issues,20-05-2015,12:46:31,Customer Care Call,Ft. Lauderdale,Florida,33304,Open,No
229103,Lost emails/billing,04-10-2015,14:53:15,Customer Care Call,Ftlauderdale,Florida,33308,Closed,No
329036,"Comcast/Xfinity Poor Service, Fraudulent Billing and Collection",06-08-2015,17:01:58,Internet,Fulton,Maryland,20759,Open,No
338283,monthly data caps,06-12-2015,19:31:37,Customer Care Call,Gadsden,Alabama,35901,Solved,No
373954,Comcast Data Charges,30-06-2015,07:29:08,Internet,Gadsden,Alabama,35904,Pending,No
231821,Inability to get access to internet through Comcast or AT&T,13-04-2015,11:10:02,Customer Care Call,Gainesville,Georgia,30506,Closed,Yes
345472,paying for an upgrade that never took place,17-06-2015,12:43:04,Internet,Gaithersburg,Maryland,20882,Closed,No
359714,"Bill issues, Internet and disability comcast prices",23-06-2015,18:26:49,Customer Care Call,Gaithersburg,Maryland,20878,Open,No
338412,Not receiving advertised speed,06-12-2015,20:43:21,Internet,Galesburg,Michigan,49053,Closed,Yes
360388,Xfinity Internet Speed,23-06-2015,22:39:59,Customer Care Call,Galesburg,Michigan,49053,Open,No
234204,Comcast Billing,14-04-2015,11:27:59,Internet,Gallatin,Tennessee,37066,Closed,No
257446,Nightly service interruption,25-04-2015,22:29:56,Customer Care Call,Gallatin,Tennessee,37066,Closed,No
339095,Netflix is slow,13-06-2015,14:01:24,Internet,Galveston,Texas,77550,Solved,No
282011,comcast wont service my address,05-09-2015,15:47:52,Customer Care Call,Gary,Indiana,46404,Solved,No
342665,cannot access my email or service at all,16-06-2015,09:51:17,Customer Care Call,Gathersburg,Maryland,20877,Open,No
266403,Xfinity/comcast Service,30-04-2015,13:13:47,Customer Care Call,Germantown,Maryland,20876,Closed,No
215802,Unclear policies,04-03-2015,09:22:46,Internet,Germantown,Tennessee,38138,Open,No
331611,300GB/month Data Cap,06-09-2015,20:23:16,Customer Care Call,Germantown,Tennessee,38139,Open,No
231199,Comcast/Xfinity- Paying for High speed service,04-12-2015,13:01:30,Customer Care Call,Gettysburg,Pennsylvania,17325,Closed,No
231200,Comcast/Xfinity- Paying for High speed service,04-12-2015,13:01:34,Customer Care Call,Gettysburg,Pennsylvania,17325,Closed,No
363615,Overage Charges,24-06-2015,22:28:37,Customer Care Call,Glencoe,Alabama,35905,Pending,No
297322,Comcast Internet and cable deals,19-05-2015,15:05:53,Internet,Glendale Heights,Illinois,60139,Solved,No
306807,Comcast bundle billing,26-05-2015,11:30:09,Internet,Glendale Heights,Illinois,60139,Open,Yes
360143,Comcast Internet Speed/Quality of Service and price,23-06-2015,20:52:54,Customer Care Call,Glenview,Illinois,60025,Solved,Yes
360714,Internet bundled with TV,24-06-2015,01:29:54,Internet,Gold Bar,Washington,98251,Solved,No
215337,Consistent speed/connectivity with internet,04-02-2015,19:48:39,Customer Care Call,Gold River,California,95670,Closed,No
213355,Comcast is ignoring me now. They are making NO attempt to correct problems,04-01-2015,22:56:15,Internet,Golden,Colorado,80401,Closed,No
367340,Data Caps,26-06-2015,02:37:30,Internet,Goodlettsville,Tennessee,37072,Pending,No
340148,n/a (b) (6),14-06-2015,19:26:28,Internet,Goose Creek,South Carolina,29445,Solved,No
363920,Unfair billing practices,25-06-2015,08:45:19,Customer Care Call,Goose Creek,South Carolina,29445,Solved,No
362557,Comcast Bundle price,24-06-2015,16:00:49,Internet,Grand Blanc,Michigan,48439,Solved,No
228419,Wrongful billing - repeated since December 2013,04-10-2015,11:34:55,Customer Care Call,Grand Rapids,Michigan,49546,Closed,No
239170,Comcast has charged me invalid fee's and wont re-imburse me for them.,16-04-2015,12:56:49,Internet,Grand Rapids,Michigan,49506,Closed,No
223708,Comcast/Xfinity service,04-08-2015,11:48:30,Customer Care Call,Grand Rapids,Michigan,49504,Closed,No
253012,Comcast Bundled,23-04-2015,15:46:08,Customer Care Call,Grand Rapids,Michigan,49507,Closed,Yes
